,OBJECTID,STREET_NAM,street_name_URI,Divided,LTS,ExisFacil,Shape__Length,osm_type,osm_id,lat,lon
178,2870,Overbrook Path,Overbrook-Path,no,LTS 1,SUP,831.4599436528321,,,,
179,2310,Overland Street,Overland-Street,no,LTS 3,SLM,174.10750033441502,way,327660233,42.3467195,-71.1008498
180,2733,Overpass,Overpass,no,LTS 1,SUP,111.714496607221,way,86479062,42.3476795,-71.0922711
181,444,Palace Road,Palace-Road,no,LTS 1,SLM,128.00651587124702,way,8640507,42.3375409,-71.0999768
182,2840,Pappas Sidepath,Pappas-Sidepath,no,LTS 1,SUP,1132.37331477203,,,,
183,1045,Park Drive,Park-Drive,no,LTS 3,BL,20.048070734996,way,479772694,42.3427452,-71.1032566
184,2810,Paul Dudley White Charles River Bike Path,Paul-Dudley-White-Charles-River-Bike-Path,no,LTS 1,SUP,744.755163056844,,,,
185,155,Paul Gore Street,Paul-Gore-Street,no,LTS 2,TC,97.7513986226266,way,8648743,42.319301,-71.107528
186,2813,Paul Revere Landing Park,Paul-Revere-Landing-Park,no,LTS 1,SRd,168.92441292295499,way,172440085,42.3701282,-71.0623059780046
187,2832,Paul Revere Park,Paul-Revere-Park,no,LTS 1,SUP,168.835114673742,,,,
188,288,Pearl Street,Pearl-Street,no,LTS 4,SLM,89.8438710058006,way,485292839,42.3562498,-71.055075
189,2739,Pearl Street Extension,Pearl-Street-Extension,no,LTS 1,SRd,174.38390212819598,,,,
190,37,Perkins Street,Perkins-Street,yes,LTS 3,BL,105.7031688692,way,8646922,42.3219114,-71.1100666
191,415,Pierpoint Road,Pierpoint-Road,yes,LTS 3,BL,146.321515250904,,,,
192,2504,Pier Point Road,Pier-Point-Road,no,LTS 1,SRd,118.48178370322701,,,,
193,1703,Playstead Road,Playstead-Road,no,LTS 1,SRd,691.032929811701,way,504665060,42.309276,-71.094059
194,601,Post Office Square,Post-Office-Square,no,LTS 3,BL,124.06280180371701,way,8648451,42.3574875,-71.0563285
195,271,Purchase Street,Purchase-Street,no,LTS 2,BL,21.12264800411,way,591217318,42.3544781,-71.0534469
196,230,Quincy Street,Quincy-Street,no,LTS 3,SLM,142.48475992038001,way,8649656,42.310303,-71.067843
197,2641,Readville to Neponset,Readville-to-Neponset,no,LTS 1,SUP,116.924086366572,,,,
198,458,Ritchie Street,Ritchie-Street,no,LTS 2,SLM,249.261158098036,way,8646073,42.322028,-71.096976
199,49,River Street,River-Street,no,LTS 3,CL,52.8132654068047,way,211853001,42.2678342,-71.0933535
200,2525,Rooney Rock Path,Rooney-Rock-Path,no,LTS 1,SUP,1668.66374540183,,,,
201,2263,Rossmore Street,Rossmore-Street,no,LTS 2,TC,304.506027046516,way,312613641,42.3051952,-71.108198407258
202,2010,Ruggles Street,Ruggles-Street,no,LTS 3,SLM,52.96712458690371,way,426493703,42.3375516,-71.0951983
